id,cases

1,71
2,71
3,72
4,95
5,99
6,120
7,129
8,148
9,171
10,231
11,329
12,402
13,446
14,469
15,593
16,640
17,810
18,867
19,942
20,1238
21,1466
22,1764
23,2088
24,2650
25,3030
26,3666
27,3981
28,4643
29,5095
30,5709
31,6565
32,7367
33,7987
34,8988
35,9756
36,10477
37,11201
38,11906
39,12974
40,14175
41,14759
42,15474
43,16454
44,17610
45,18668
46,19868
47,20835
48,21632
49,22629
50,23651
51,25007
52,26167
53,28046
54,29453
55,32138
56,33513
57,35901
58,37915
59,39834
60,41472
61,44029
62,46008
63,47480
64,49219
65,51401
66,53035
67,53946
68,56316
69,58802
70,61149
71,63624
72,66330
73,69597
74,73560
75,77103
76,80722
77,83004
78,86110
79,89987
80,86422
81,89995
82,93322
83,97581
84,101497
85,106737
86,110960
87,115942
88,120406
89,125381
90,129917
91,133632
92,137448
93,141842
94,145779
95,149348
96,153106
97,153178
98,155227
99,160384
100,163248
