id,cases

1,3
2,3
3,10
4,10
5,13
6,14
7,14
8,15
9,20
10,23
11,24
12,24
13,37
14,40
15,43
16,67
17,80
18,87
19,100
20,124
21,133
22,151
23,157
24,184
25,267
26,292
27,326
28,402
29,473
30,504
31,643
32,716
33,857
34,1036
35,1306
36,1489
37,1749
38,1992
39,2231
40,2547
41,3252
42,3870
43,4258
44,4749
45,5063
46,5804
47,6185
48,6869
49,7696
50,8325
51,8889
52,9951
53,10633
54,11707
55,12727
56,14183
57,15267
58,16540
59,17847
60,19358
61,20917
62,22455
63,24386
64,26235
65,27920
66,30153
67,34109
68,36824
69,39174
70,42298
71,45300
72,48534
73,51784
74,54441
75,57721
76,60491
77,64426
78,67692
79,71106
80,82370
81,86984
82,91819
83,95527
84,100303
85,104107
86,109462
87,114073
88,119293
89,124095
90,129215
91,135206
92,141029
93,147195
94,154330
95,162379
96,169798
97,180013
98,186935
99,194325
100,204711
